co_id,year,quarter,營業活動之現金流量－間接法,繼續營業單位稅前淨利（淨損）,本期稅前淨利（淨損）,折舊費用,攤銷費用,呆帳費用提列（轉列收入）數,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,利息費用,利息收入,股利收入,股份基礎給付酬勞成本,採用權益法認列之關聯企業及合資損失（利益）之份額,處分及報廢不動產、廠房及設備損失（利益）,不動產、廠房及設備轉列費用數,處分無形資產損失（利益）,處分投資損失（利益）,金融資產減損損失,非金融資產減損損失,其他項目,收益費損項目合計,應收票據（增加）減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,其他應收款－關係人（增加）減少,存貨（增加）減少,其他流動資產（增加）減少,與營業活動相關之資產之淨變動合計,應付票據增加（減少）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,其他應付款－關係人增加（減少）,負債準備增加（減少）,其他流動負債增加（減少）,其他營業負債增加（減少）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產及負債之淨變動合計,調整項目合計,營運產生之現金流入（流出）,收取之利息,收取之股利,支付之利息,退還（支付）之所得稅,營業活動之淨現金流入（流出）,投資活動之現金流量,取得備供出售金融資產,處分備供出售金融資產,取得以成本衡量之金融資產,以成本衡量之金融資產減資退回股款,取得採用權益法之投資,處分採用權益法之投資,取得不動產、廠房及設備,處分不動產、廠房及設備,存出保證金減少,其他應收款－關係人增加,取得無形資產,處分無形資產,因合併產生之現金流入,其他金融資產增加,其他非流動資產增加,投資活動之淨現金流入（流出）,籌資活動之現金流量,短期借款增加,短期借款減少,舉借長期借款,償還長期借款,存入保證金增加,存入保證金減少,員工購買庫藏股,非控制權益變動,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,資產負債表帳列之現金及約當現金,其他金融資產減少,庫藏股票買回成本,存出保證金增加,其他應收款－關係人減少,發放現金股利,預期信用減損損失（利益）數／呆帳費用提列（轉列收入）數,合約負債增加（減少）,取得透過其他綜合損益按公允價值衡量之金融資產,處分透過其他綜合損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,取得指定為透過損益按公允價值衡量之金融資產,處分指定為透過損益按公允價值衡量之金融資產,預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,取得透過損益按公允價值衡量之金融資產,處分透過損益按公允價值衡量之金融資產,租賃本金償還,其他非流動資產減少,採用權益法之被投資公司減資退回股款,預付投資款增加,對子公司之收購（扣除所取得之現金）,預收款項增加－處分資產,發行公司債,其他籌資活動,分類至待出售（非流動）資產（或處分群組）之現金及約當現金,取得按攤銷後成本衡量之金融資產,處分子公司,處分子公司股權（未喪失控制力）
3231.0,2017.0,1.0,,776893000.0,776893000.0,1930401000.0,84968000.0,701000.0,270667000.0,509035000.0,-278019000.0,0.0,79230000.0,-61702000.0,2181000.0,10023000.0,0.0,-14712000.0,43000000.0,-3223000.0,11624000.0,2584174000.0,2139000.0,23806813000.0,-25877000.0,-1508000.0,-11755318000.0,-738620000.0,11287629000.0,-3455000.0,-16900377000.0,-1139400000.0,-60677000.0,-109181000.0,615881000.0,-19739000.0,-17616948000.0,-6329319000.0,-3745145000.0,-2968252000.0,265195000.0,0.0,-517619000.0,-285885000.0,-3506561000.0,,-3100135000.0,3327530000.0,-11433000.0,15000.0,-88897000.0,18000.0,-2161683000.0,9470000.0,119000.0,0.0,-30438000.0,0.0,0.0,-2480695000.0,-477476000.0,-5013605000.0,,120568170000.0,-114505921000.0,2982039000.0,-4688472000.0,0.0,-12005000.0,136996000.0,1232000.0,4482039000.0,-1136057000.0,-5174184000.0,57561050000.0,52386866000.0,52386866000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231.0,2017.0,2.0,,2042306000.0,2042306000.0,3830386000.0,164994000.0,465000.0,8146000.0,1072855000.0,-502628000.0,-17143000.0,156963000.0,-140890000.0,28698000.0,4934000.0,0.0,-20552000.0,68000000.0,-14174000.0,35372000.0,4675426000.0,-61628000.0,4893163000.0,-10152000.0,5688000.0,-8952772000.0,-1104219000.0,-5229920000.0,-69565000.0,-6891821000.0,-1064265000.0,-148541000.0,-232802000.0,1253161000.0,-21435000.0,-7175268000.0,-12405188000.0,-7729762000.0,-5687456000.0,493877000.0,46026000.0,-1090068000.0,-1159306000.0,-7396927000.0,,-5499310000.0,5234397000.0,-165553000.0,5489000.0,-88897000.0,18000.0,-3567989000.0,10149000.0,52446000.0,0.0,-65030000.0,0.0,0.0,0.0,-1083987000.0,-5152440000.0,,252042679000.0,-243921616000.0,4305572000.0,-6044028000.0,,-237165000.0,205677000.0,-469000.0,6350650000.0,-1240320000.0,-7439037000.0,57561050000.0,50122013000.0,50122013000.0,15827000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3231.0,2017.0,3.0,,3466140000.0,3466140000.0,5735745000.0,240814000.0,-31887000.0,120785000.0,1888429000.0,-794321000.0,-135810000.0,436241000.0,-243762000.0,29754000.0,5533000.0,0.0,-56206000.0,125182000.0,-14026000.0,50252000.0,7356723000.0,-561175000.0,-14021520000.0,-209617000.0,24516000.0,-32132330000.0,-5046789000.0,-51946915000.0,-71587000.0,23033979000.0,-908528000.0,-306844000.0,-132521000.0,5465837000.0,40124000.0,27120460000.0,-24826455000.0,-17469732000.0,-14003592000.0,829477000.0,504118000.0,-1874696000.0,-2234338000.0,-16779031000.0,,-7940259000.0,7323224000.0,-189089000.0,13549000.0,-210397000.0,18000.0,-5614426000.0,21200000.0,,,-82016000.0,0.0,0.0,-223411000.0,-1204728000.0,-8165701000.0,,418592007000.0,-384673949000.0,7397310000.0,-10481657000.0,,-246019000.0,578048000.0,32879000.0,28157799000.0,-1455689000.0,1757378000.0,57561050000.0,59318428000.0,59318428000.0,,0.0,-62533000.0,3167000.0,-3040820000.0,,,,,,,,,,,,,,,,,,,,,,
3231.0,2017.0,4.0,,6158411000.0,6158411000.0,7592580000.0,315209000.0,-42378000.0,404559000.0,2756041000.0,-1078725000.0,-137054000.0,443049000.0,-307854000.0,80668000.0,6162000.0,0.0,-351953000.0,,54876000.0,70634000.0,9805814000.0,-233491000.0,-7340679000.0,-105200000.0,-144784000.0,-30823106000.0,-5407885000.0,-44055145000.0,-67937000.0,14596712000.0,-871283000.0,-184507000.0,-199958000.0,5339079000.0,41395000.0,18653501000.0,-25401644000.0,-15595830000.0,-9437419000.0,1175540000.0,505361000.0,-2710909000.0,-2671559000.0,-13138986000.0,,-14237984000.0,14341468000.0,-198112000.0,35558000.0,-360427000.0,18000.0,-7411710000.0,118694000.0,17102000.0,,-126666000.0,0.0,0.0,-25250000.0,-2337614000.0,-10183064000.0,,590436868000.0,-550538763000.0,10872489000.0,-15014094000.0,,-263782000.0,773958000.0,194622000.0,33420478000.0,-1673361000.0,8425067000.0,57561050000.0,65986117000.0,65986117000.0,,0.0,,1859000.0,-3040820000.0,,,,,,,,,,,,,,,,,,,,,,
3231.0,2018.0,1.0,,1818091000.0,1818091000.0,1874913000.0,74427000.0,,-51603000.0,970825000.0,-274657000.0,-5277000.0,84808000.0,-42551000.0,3068000.0,4728000.0,,-78990000.0,0.0,0.0,-81909000.0,2487004000.0,,5458419000.0,89326000.0,126098000.0,-3944394000.0,-1960543000.0,-231094000.0,,-21940811000.0,-129514000.0,-5054000.0,0.0,-65873000.0,-9729000.0,-22020467000.0,-22251561000.0,-19764557000.0,-17946466000.0,323284000.0,5277000.0,-984045000.0,-220545000.0,-18822495000.0,,0.0,0.0,0.0,0.0,0.0,295518000.0,-1402222000.0,17922000.0,-43765000.0,,-51398000.0,,,0.0,-1199574000.0,-3754900000.0,,151170371000.0,-144197390000.0,1626852000.0,-1458440000.0,,198557000.0,263525000.0,944771000.0,8548246000.0,-2298887000.0,-16328036000.0,65986117000.0,49658081000.0,49658081000.0,,,,,,9222000.0,130514000.0,-289731000.0,8155000.0,5142000.0,-4099706000.0,3004759000.0,,,,,,,,,,,,,,,
3231.0,2018.0,2.0,,3674380000.0,3674380000.0,3662503000.0,129851000.0,,-763116000.0,2062014000.0,-517529000.0,-14638000.0,91617000.0,-95387000.0,4739000.0,18839000.0,,-99367000.0,0.0,0.0,-67405000.0,4413529000.0,,-3208222000.0,-9761000.0,6177000.0,5850826000.0,-1883287000.0,755733000.0,,-28413588000.0,-114175000.0,-7732000.0,0.0,1788073000.0,-17215000.0,-26868460000.0,-26112727000.0,-21699198000.0,-18024818000.0,613406000.0,55475000.0,-2122931000.0,-708123000.0,-20186991000.0,,0.0,0.0,0.0,0.0,-7214000.0,326887000.0,-3950626000.0,25771000.0,-42027000.0,,-72724000.0,,,,-3074483000.0,-7000513000.0,,272837038000.0,-289680107000.0,14393252000.0,-3519680000.0,,176903000.0,661899000.0,951282000.0,-4179413000.0,1839641000.0,-29527276000.0,65986117000.0,36458841000.0,36458841000.0,0.0,,,,,1408000.0,-103823000.0,-306678000.0,8155000.0,29270000.0,-9814801000.0,9877957000.0,,,,,,,,,,,,,,,
3231.0,2018.0,3.0,,6134222000.0,6134222000.0,5682336000.0,234357000.0,,61657000.0,3261756000.0,-790272000.0,-76503000.0,98425000.0,-216492000.0,12068000.0,54754000.0,,-106454000.0,0.0,0.0,-50162000.0,8170819000.0,,-21569628000.0,15711000.0,128608000.0,-16620342000.0,-3517252000.0,-41562903000.0,,245180000.0,474537000.0,-29025000.0,0.0,5571328000.0,-24152000.0,5976979000.0,-35585924000.0,-27415105000.0,-21280883000.0,824115000.0,453703000.0,-3289241000.0,-1144491000.0,-24436797000.0,,0.0,0.0,0.0,0.0,-52214000.0,328339000.0,-6403150000.0,30007000.0,1977000.0,,-192496000.0,,,0.0,-4451697000.0,-10781287000.0,,418206602000.0,-417929237000.0,21451914000.0,-9087871000.0,,370457000.0,714668000.0,734407000.0,11252741000.0,1651212000.0,-22314131000.0,65986117000.0,43671986000.0,43671986000.0,,,0.0,0.0,-3208199000.0,,-260889000.0,-517526000.0,13264000.0,79836000.0,,,5349000.0,-14882671000.0,15265044000.0,,,,,,,,,,,,
3231.0,2018.0,4.0,,9658838000.0,9658838000.0,7938345000.0,311116000.0,,98188000.0,4747543000.0,-1071586000.0,-149758000.0,105898000.0,-409226000.0,13819000.0,48303000.0,,-106370000.0,,0.0,-24343000.0,11557340000.0,,-22772441000.0,-26174000.0,23839000.0,4377793000.0,-7065234000.0,-25462217000.0,,3969628000.0,232131000.0,72714000.0,0.0,9039086000.0,-93126000.0,12881560000.0,-12580657000.0,-1023317000.0,8635521000.0,1265370000.0,526962000.0,-4840306000.0,-1431460000.0,4156087000.0,,0.0,0.0,0.0,0.0,-200264000.0,329228000.0,-8565871000.0,33479000.0,0.0,,-330052000.0,,,0.0,-5215276000.0,-14226256000.0,,614004234000.0,-637235698000.0,21590472000.0,-10539915000.0,327888000.0,0.0,761447000.0,735017000.0,-13564754000.0,1177829000.0,-22457094000.0,65986117000.0,43529023000.0,43529023000.0,,,-8899000.0,-3886000.0,-3208199000.0,,-338873000.0,-725898000.0,21344000.0,91464000.0,,,55411000.0,-17644212000.0,17992587000.0,,,,,,,,,,,,
3231.0,2019.0,1.0,,2010220000.0,2010220000.0,2416961000.0,74855000.0,,-93888000.0,1293574000.0,-549190000.0,-60598000.0,163962000.0,-47425000.0,14002000.0,0.0,,-181874000.0,,,3939000.0,3021653000.0,,20499434000.0,-263779000.0,1426000.0,-4517506000.0,1285413000.0,17004988000.0,,-28988171000.0,-161013000.0,-31528000.0,,-1100607000.0,-168847000.0,-30122790000.0,-13117802000.0,-10096149000.0,-8085929000.0,482504000.0,60598000.0,-1333519000.0,-444106000.0,-9320452000.0,,,,,,-209859000.0,50308000.0,-979587000.0,12353000.0,,,-18663000.0,,,,-341805000.0,-1700625000.0,,188862203000.0,-177562986000.0,1387275000.0,-1541416000.0,0.0,-46674000.0,0.0,5697749000.0,16559843000.0,374280000.0,5913046000.0,43529023000.0,49442069000.0,49442069000.0,,,-2042000.0,,,,327376000.0,-86167000.0,6264000.0,7841000.0,,,-12665000.0,-5857589000.0,5718321000.0,-236308000.0,,,,,,,,,,,
3231.0,2019.0,2.0,,4732211000.0,4732211000.0,4897776000.0,147300000.0,,51187000.0,2579291000.0,-1056826000.0,-61147000.0,281579000.0,-129306000.0,37482000.0,2946000.0,,-185598000.0,,,30991000.0,6614809000.0,,10961441000.0,-811212000.0,-388000.0,10340714000.0,-245902000.0,20244653000.0,,-23382705000.0,-26058000.0,4348000.0,,2854121000.0,-178119000.0,-20367956000.0,-123303000.0,6491506000.0,11223717000.0,1082728000.0,111647000.0,-2777637000.0,-2427976000.0,7212479000.0,,,,,,-223907000.0,248112000.0,-2567335000.0,65026000.0,475000.0,,-112783000.0,,,,,-3679531000.0,,321025346000.0,-318772425000.0,1394436000.0,-6964222000.0,0.0,-39630000.0,282739000.0,5249087000.0,1726354000.0,700743000.0,5960045000.0,43529023000.0,49489068000.0,49489068000.0,,,0.0,,,,360457000.0,-249661000.0,6272000.0,7841000.0,,,19134000.0,-20309513000.0,20175085000.0,-448977000.0,-719143000.0,,,,,,,,,,
3231.0,2019.0,3.0,,7881190000.0,7881190000.0,7351926000.0,226220000.0,,291430000.0,3765283000.0,-1548958000.0,-121081000.0,281579000.0,-216737000.0,37681000.0,3457000.0,,-192005000.0,,,31803000.0,10185499000.0,,-16493060000.0,-325461000.0,817000.0,626502000.0,470117000.0,-15721085000.0,,-528352000.0,45819000.0,-12356000.0,,5626072000.0,-211915000.0,5536397000.0,-10184688000.0,811000.0,7882001000.0,1673547000.0,515736000.0,-3997525000.0,-2749348000.0,3324411000.0,,,,,,-223907000.0,248112000.0,-4607621000.0,77056000.0,3028000.0,,-61597000.0,,,,-1046929000.0,-6071707000.0,,506821982000.0,-500880587000.0,2764509000.0,-6964222000.0,0.0,-36646000.0,448381000.0,3877544000.0,1252621000.0,534067000.0,-960608000.0,43529023000.0,42568415000.0,42568415000.0,,,,,-4226640000.0,,617129000.0,-336027000.0,6919000.0,11089000.0,,,274901000.0,-32629856000.0,32488026000.0,-551700000.0,,,,,,,,,,,
3231.0,2019.0,4.0,,12776066000.0,12776066000.0,9783921000.0,300039000.0,,383430000.0,4810821000.0,-2009432000.0,-483430000.0,281579000.0,-339573000.0,41412000.0,5677000.0,,-193365000.0,,,33126000.0,12913667000.0,,-14734428000.0,-421539000.0,-1624000.0,2501700000.0,403016000.0,-12252875000.0,,790748000.0,-156117000.0,-14153000.0,,8968696000.0,-197900000.0,10218694000.0,-2034181000.0,10879486000.0,23655552000.0,2142126000.0,879384000.0,-5160731000.0,-2920769000.0,18595562000.0,,,,,,-352166000.0,248112000.0,-6610228000.0,102267000.0,,0.0,-185619000.0,,,,-1324851000.0,-8774201000.0,,725995118000.0,-728625680000.0,8819755000.0,-10593725000.0,0.0,-66975000.0,448381000.0,3878374000.0,-5082348000.0,-856089000.0,3882924000.0,43529023000.0,47411947000.0,47411947000.0,,,-126822000.0,1634000.0,-4226640000.0,,827420000.0,-410463000.0,24189000.0,44382000.0,,,299462000.0,-37968045000.0,37783409000.0,-710956000.0,,,,,,,,,,,
3231.0,2020.0,1.0,,1882117000.0,1882117000.0,2404793000.0,68234000.0,,-58185000.0,880571000.0,-546720000.0,0.0,0.0,-42411000.0,-8839000.0,286000.0,,-1906000.0,,,4199000.0,2661364000.0,,44457898000.0,546410000.0,-153000.0,-15751084000.0,1668510000.0,30921581000.0,,-25518634000.0,-197981000.0,41736000.0,,-1614964000.0,-154745000.0,-27155748000.0,3765833000.0,6427197000.0,8309314000.0,607186000.0,0.0,-980583000.0,-309909000.0,7626008000.0,,,,,,-52954000.0,0.0,-1876441000.0,182947000.0,553000.0,,-30447000.0,,,,-426613000.0,-2126145000.0,,206773541000.0,-194293088000.0,6429912000.0,-12730727000.0,,-378640000.0,,3082000.0,5585889000.0,348621000.0,11434373000.0,47411947000.0,58846320000.0,58846320000.0,,,0.0,,,,288840000.0,-12229000.0,4492000.0,0.0,,,-38658000.0,-7100162000.0,7153920000.0,-218191000.0,,30789000.0,,,,,,,,,
3231.0,2020.0,2.0,,6977835000.0,6977835000.0,4855186000.0,142249000.0,,58776000.0,1429584000.0,-1169322000.0,0.0,0.0,-192126000.0,2268000.0,324000.0,,2607000.0,,,4467000.0,5142181000.0,,10277539000.0,763373000.0,-9980000.0,-20923987000.0,2016576000.0,-7876479000.0,,-14370061000.0,-40463000.0,-4422000.0,,2679397000.0,-161844000.0,-11332049000.0,-19208528000.0,-14066347000.0,-7088512000.0,1300123000.0,52778000.0,-1650659000.0,-1696973000.0,-9083243000.0,,,,,,-52954000.0,0.0,-3774359000.0,264788000.0,0.0,,-187844000.0,,,,-1325851000.0,-5065920000.0,,422589051000.0,-398469562000.0,10914461000.0,-16924402000.0,,-438121000.0,0.0,3237000.0,15651920000.0,-1658336000.0,-155579000.0,47411947000.0,47256368000.0,47256368000.0,,-1607259000.0,-40456000.0,,,,565344000.0,-39470000.0,4614000.0,3205000.0,,,8168000.0,-11954077000.0,12005814000.0,-415485000.0,,30670000.0,,,,,,,,,
3231.0,2020.0,3.0,,12058399000.0,12058399000.0,7325069000.0,222988000.0,,-723381000.0,1861157000.0,-1584311000.0,-126360000.0,0.0,-332783000.0,-13876000.0,1121000.0,,2376000.0,,,2493000.0,6642573000.0,,9925630000.0,33961000.0,-11697000.0,-26031918000.0,1125616000.0,-14958408000.0,,-17508192000.0,-51934000.0,-11324000.0,,5943371000.0,-170393000.0,-10773585000.0,-25731993000.0,-19089420000.0,-7031021000.0,1746865000.0,470518000.0,-2150066000.0,-2908613000.0,-9872317000.0,,,,,,-52954000.0,0.0,-6509619000.0,329590000.0,0.0,,-262830000.0,,,,-3510149000.0,-23634550000.0,,640053090000.0,-589720392000.0,16493079000.0,-22914776000.0,,-415497000.0,0.0,-1976115000.0,33606897000.0,-2374498000.0,-2274468000.0,47411947000.0,45137479000.0,45137479000.0,,-1607259000.0,-51450000.0,,-5681224000.0,,1024887000.0,-99535000.0,4614000.0,16701000.0,,,8080000.0,-28199543000.0,15104731000.0,-624009000.0,,30789000.0,-434895000.0,,,,,,,,
3231.0,2020.0,4.0,,16845375000.0,16845375000.0,9736831000.0,323032000.0,,-815798000.0,2348171000.0,-1888042000.0,-127355000.0,118726000.0,-447126000.0,-40266000.0,19317000.0,,-4652000.0,,,22591000.0,9252039000.0,,1704598000.0,116518000.0,2335000.0,-32799201000.0,-960157000.0,-31935907000.0,,-12369107000.0,-37676000.0,5853000.0,,10417038000.0,-180021000.0,-552611000.0,-32488518000.0,-23236479000.0,-6391104000.0,2082619000.0,474400000.0,-2708726000.0,-4126630000.0,-10669441000.0,,,,,,-487849000.0,0.0,-9838227000.0,1223765000.0,,-13206000.0,-470795000.0,,567013000.0,,-6236523000.0,-16279182000.0,,870314450000.0,-815924974000.0,28658993000.0,-25781843000.0,,-327383000.0,0.0,-1934175000.0,51022807000.0,-1940057000.0,22134127000.0,47411947000.0,69546074000.0,66203801000.0,,-1607259000.0,-57984000.0,,-5681224000.0,,1611302000.0,-343133000.0,12772000.0,16701000.0,,,6610000.0,-32190666000.0,18645590000.0,-1687779000.0,,30789000.0,,-37248000.0,12899819000.0,4991500000.0,2501000.0,3342273000.0,,,
3231.0,2021.0,1.0,,1240037000.0,1240037000.0,2157406000.0,81342000.0,,5533200000.0,446956000.0,-426229000.0,-13589000.0,87214000.0,-83425000.0,-656210000.0,0.0,,-2323681000.0,,,5458000.0,4799612000.0,,7698802000.0,2246000.0,1505000.0,-16372282000.0,-242215000.0,-8911944000.0,,-753686000.0,44658000.0,2657000.0,,-4937283000.0,-75173000.0,-5296396000.0,-14208340000.0,-9408728000.0,-8168691000.0,451502000.0,13589000.0,-495061000.0,-714875000.0,-8913536000.0,,,,,,-313743000.0,,-1997735000.0,78184000.0,97000.0,,-24660000.0,,,,-1220693000.0,-3923832000.0,,184908767000.0,-176640745000.0,2669750000.0,-4872503000.0,,-21034000.0,,273800000.0,6048828000.0,-140493000.0,-6929033000.0,66203801000.0,59274768000.0,59274768000.0,,,,,,,422431000.0,-223933000.0,12697000.0,21299000.0,,,-8830000.0,-4469863000.0,4242666000.0,-270008000.0,,0.0,-28148000.0,,,,801000.0,,,,
3231.0,2021.0,2.0,,8118572000.0,8118572000.0,4311978000.0,167963000.0,,2579410000.0,905925000.0,-846851000.0,-42684000.0,174427000.0,-28429000.0,-676132000.0,0.0,,-2308916000.0,,,97583000.0,4362763000.0,,-14758541000.0,66181000.0,-5000.0,-21347953000.0,-657054000.0,-36697372000.0,,4618236000.0,-29213000.0,1152000.0,,1442770000.0,-109460000.0,6637406000.0,-30059966000.0,-25697203000.0,-17578631000.0,920499000.0,117205000.0,-977918000.0,-2681091000.0,-20199936000.0,,,,,,-313743000.0,15508000.0,-5079218000.0,808832000.0,,,-214031000.0,,,,-2492692000.0,-7664732000.0,,311402207000.0,-303319805000.0,13200557000.0,-5327979000.0,,-36031000.0,,286600000.0,15875859000.0,-2306408000.0,-14295217000.0,66203801000.0,51908584000.0,51908584000.0,,0.0,-1968000.0,,,,713921000.0,-349988000.0,20989000.0,40697000.0,,,28489000.0,-11206645000.0,11107527000.0,-333911000.0,,0.0,,,,,4221000.0,,,,
3231.0,2021.0,3.0,,10513639000.0,10513639000.0,6511715000.0,261731000.0,,5102778000.0,1364429000.0,-1171428000.0,-100114000.0,261641000.0,-94841000.0,-646782000.0,68994000.0,,-2299674000.0,,,102226000.0,9345201000.0,,-22841866000.0,71753000.0,-847000.0,-50218924000.0,-1675481000.0,-74665365000.0,,44620906000.0,129797000.0,4510000.0,,1573527000.0,-123614000.0,47594359000.0,-27071006000.0,-17725805000.0,-7212166000.0,1337920000.0,498802000.0,-1480058000.0,-4455810000.0,-11311312000.0,,,,,,-313743000.0,15508000.0,-8404369000.0,634502000.0,,,-588456000.0,,,,-3261185000.0,-13755789000.0,,471949349000.0,-444018304000.0,26025949000.0,-19200434000.0,,-55815000.0,,-2474448000.0,29553199000.0,-1640025000.0,2846073000.0,66203801000.0,69049874000.0,69049874000.0,204656000.0,0.0,-187168000.0,,-6258127000.0,,1389233000.0,-622185000.0,24719000.0,53660000.0,,,-15474000.0,-15368177000.0,15449614000.0,-864326000.0,,0.0,0.0,,,4442325000.0,7030000.0,,-1393165000.0,,
3231.0,2021.0,4.0,,19234277000.0,19234277000.0,8866390000.0,358719000.0,,1322249000.0,1880091000.0,-1306757000.0,-253965000.0,353496000.0,-117188000.0,-661743000.0,70191000.0,,-2294821000.0,,,871487000.0,9066092000.0,,-34916877000.0,152733000.0,609000.0,-68003436000.0,-3028196000.0,-105795167000.0,,54692305000.0,195092000.0,48949000.0,,3944030000.0,-142452000.0,60353887000.0,-45441280000.0,-36375188000.0,-17140911000.0,1644851000.0,652654000.0,-2049224000.0,-4643279000.0,-21535909000.0,,,,,,-313743000.0,15508000.0,-10496324000.0,674881000.0,,,-683971000.0,,181351000.0,,-3320335000.0,-16597400000.0,,645122074000.0,-603585094000.0,28208148000.0,-23501491000.0,,-289750000.0,,-2473198000.0,44592706000.0,-2508957000.0,3950440000.0,66203801000.0,70154241000.0,70154241000.0,63538000.0,0.0,-332538000.0,,-6258127000.0,,1615963000.0,-935663000.0,450432000.0,57890000.0,,,-22057000.0,-18409564000.0,18457904000.0,-1111490000.0,,0.0,,-2108639000.0,0.0,4442325000.0,11016000.0,0.0,-1404046000.0,1505919000.0,4028293000.0
