co_id,year,quarter,營業收入合計,營業成本合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,推銷費用,管理費用,研究發展費用,營業費用合計,營業利益（損失）,營業外收入及支出,其他收入,其他利益及損失淨額,財務成本淨額,採用權益法認列之關聯企業及合資損益之份額淨額,營業外收入及支出合計,稅前淨利（淨損）,所得稅費用（利益）合計,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,後續可能重分類至損益之項目：,國外營運機構財務報表換算之兌換差額,備供出售金融資產未實現評價損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,與可能重分類之項目相關之所得稅,其他綜合損益（淨額）,本期綜合損益總額,母公司業主（淨利∕損）,非控制權益（淨利∕損）,母公司業主（綜合損益）,非控制權益（綜合損益）,基本每股盈餘,稀釋每股盈餘,不重分類至損益之項目：,確定福利計畫之再衡量數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,與不重分類之項目相關之所得稅,其他綜合損益(淨額),透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,淨利（損）歸屬於：,母公司業主（淨利／損）,非控制權益（淨利／損）,採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,利息收入,可能重分類至損益之其他項目
3231,2017,1,168408112000.0,162044304000.0,6363808000.0,6363808000.0,0.0,1897599000.0,617871000.0,3357179000.0,5872649000.0,491159000.0,0.0,296390000.0,436677000.0,509035000.0,61702000.0,285734000.0,776893000.0,194223000.0,582670000.0,582670000.0,0.0,-3638850000.0,-196402000.0,-78228000.0,-3089000.0,-3910391000.0,-3327721000.0,544954000.0,37716000.0,-3363358000.0,35637000.0,220.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2017,2,193838184000.0,186254169000.0,7584015000.0,7584015000.0,0.0,1909681000.0,675638000.0,3564984000.0,6150303000.0,1433712000.0,0.0,260666000.0,55667000.0,563820000.0,79188000.0,-168299000.0,1265413000.0,313445000.0,951968000.0,951968000.0,0.0,454578000.0,-62546000.0,48102000.0,-4199000.0,444333000.0,1396301000.0,819033000.0,132935000.0,1263204000.0,133097000.0,310.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2017,3,212232039000.0,203889936000.0,8342103000.0,8342103000.0,0.0,2017234000.0,815602000.0,3833354000.0,6666190000.0,1675913000.0,0.0,438533000.0,22090000.0,815574000.0,102872000.0,-252079000.0,1423834000.0,364969000.0,1058865000.0,1058865000.0,0.0,-28943000.0,445000.0,-9139000.0,1729000.0,-39366000.0,1019499000.0,918591000.0,140274000.0,878942000.0,140557000.0,350.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2017,4,261602688000.0,252253211000.0,9349477000.0,9349477000.0,0.0,2356959000.0,733971000.0,3945520000.0,7036450000.0,2313027000.0,0.0,318556000.0,864208000.0,867612000.0,64092000.0,379244000.0,2692271000.0,924283000.0,1767988000.0,1767988000.0,0.0,-719145000.0,-578133000.0,-45597000.0,-84532000.0,-1315649000.0,452339000.0,1602938000.0,165050000.0,289040000.0,163299000.0,600.0,590.0,0.0,-69331000.0,96000.0,-11929000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2018,1,217052925000.0,209003627000.0,8049298000.0,8049298000.0,0.0,2195801000.0,661290000.0,3336439000.0,6193530000.0,1855768000.0,0.0,311752000.0,578845000.0,970825000.0,42551000.0,-37677000.0,1818091000.0,455143000.0,1362948000.0,1362948000.0,0.0,-1176735000.0,0.0,34385000.0,0.0,-1272447000.0,90501000.0,0.0,0.0,-356751000.0,447252000.0,340.0,340.0,0.0,0.0,-2410000.0,-18052000.0,0.0,-145739000.0,0.0,912770000.0,450178000.0,0.0,0.0,0.0
3231,2018,2,189347758000.0,180469424000.0,8878334000.0,8878334000.0,0.0,2276267000.0,920982000.0,3561296000.0,6758545000.0,2119789000.0,0.0,281496000.0,493357000.0,1091189000.0,52836000.0,-263500000.0,1856289000.0,476902000.0,1379387000.0,1379387000.0,0.0,2602862000.0,0.0,-4906000.0,0.0,2533515000.0,3912902000.0,0.0,0.0,3110773000.0,802129000.0,230.0,230.0,0.0,0.0,71000.0,61238000.0,0.0,-3274000.0,0.0,640613000.0,738774000.0,0.0,0.0,0.0
3231,2018,3,227646550000.0,218293482000.0,9353068000.0,9353068000.0,0.0,2391898000.0,790879000.0,3378201000.0,6560978000.0,2792090000.0,0.0,365688000.0,380701000.0,1199742000.0,121105000.0,-332248000.0,2459842000.0,575563000.0,1884279000.0,1884279000.0,0.0,-306507000.0,0.0,-78136000.0,0.0,-657062000.0,1227217000.0,1241427000.0,642852000.0,582203000.0,645014000.0,440.0,440.0,0.0,0.0,23000.0,3452000.0,0.0,-268990000.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2018,4,255489114000.0,244210558000.0,11278556000.0,11278556000.0,0.0,2362061000.0,790465000.0,4127661000.0,7280187000.0,3998369000.0,0.0,383921000.0,435379000.0,1485787000.0,192734000.0,-473753000.0,3524616000.0,866041000.0,2658575000.0,2658575000.0,0.0,424098000.0,0.0,8609000.0,20000.0,-85070000.0,2573505000.0,3667045000.0,1733865000.0,2014058000.0,559447000.0,750.0,720.0,0.0,-157918000.0,-1045000.0,-78916000.0,0.0,-437710000.0,0.0,-1553383000.0,-1188952000.0,0.0,0.0,0.0
3231,2019,1,206204535000.0,197806754000.0,8397781000.0,8397781000.0,0.0,2160977000.0,713114000.0,3697569000.0,6571660000.0,1826121000.0,0.0,629051000.0,801197000.0,1293574000.0,47425000.0,184099000.0,2010220000.0,506340000.0,1503880000.0,1503880000.0,453657000.0,370807000.0,0.0,0.0,0.0,623601000.0,2127481000.0,989783000.0,514097000.0,1606016000.0,521465000.0,350.0,350.0,169944000.0,0.0,0.0,2845000.0,0.0,172789000.0,0.0,0.0,0.0,82850000.0,0.0,0.0
3231,2019,2,205549138000.0,195320944000.0,10228194000.0,10228194000.0,0.0,2158524000.0,902365000.0,4020423000.0,7081312000.0,3146882000.0,0.0,529974000.0,248971000.0,1285717000.0,81881000.0,-424891000.0,2721991000.0,675060000.0,2046931000.0,2046931000.0,412815000.0,452235000.0,0.0,0.0,0.0,564413000.0,2611344000.0,1252168000.0,794763000.0,1794372000.0,816972000.0,440.0,440.0,151598000.0,0.0,0.0,36403000.0,0.0,188001000.0,0.0,0.0,0.0,-39420000.0,0.0,0.0
3231,2019,3,216289837000.0,205465483000.0,10824354000.0,10824354000.0,0.0,2489375000.0,840939000.0,4149022000.0,7479336000.0,3345018000.0,0.0,583795000.0,318727000.0,1185992000.0,87431000.0,-196039000.0,3148979000.0,756295000.0,2392684000.0,2392684000.0,-457450000.0,-411692000.0,0.0,0.0,0.0,210260000.0,2602944000.0,1721781000.0,670903000.0,1936907000.0,666037000.0,610.0,600.0,667710000.0,0.0,0.0,5210000.0,0.0,672920000.0,0.0,0.0,0.0,-45758000.0,0.0,0.0
3231,2019,4,250211568000.0,237503347000.0,12708221000.0,12708221000.0,0.0,2434573000.0,960691000.0,4331133000.0,7726397000.0,4981824000.0,0.0,845912000.0,-10158000.0,1045538000.0,122836000.0,-86948000.0,4894876000.0,1112128000.0,3782748000.0,3782748000.0,-2072231000.0,-2077231000.0,0.0,0.0,-86000.0,-1144902000.0,2637846000.0,2837036000.0,945712000.0,1774621000.0,863225000.0,1000.0,970.0,927329000.0,-110406000.0,-3516000.0,-79257000.0,0.0,961994000.0,0.0,0.0,0.0,4914000.0,0.0,0.0
3231,2020,1,173771433000.0,165179457000.0,8591976000.0,8591976000.0,0.0,1943367000.0,696762000.0,4051633000.0,6691762000.0,1900214000.0,0.0,567288000.0,252775000.0,880571000.0,42411000.0,-18097000.0,1882117000.0,439052000.0,1443065000.0,1443065000.0,365865000.0,450233000.0,0.0,0.0,0.0,-466704000.0,976361000.0,726710000.0,716355000.0,254225000.0,722136000.0,260.0,250.0,-832569000.0,0.0,0.0,165000.0,0.0,-832404000.0,0.0,0.0,0.0,-84368000.0,0.0,0.0
3231,2020,2,221107466000.0,208451623000.0,12655843000.0,12655843000.0,0.0,2382268000.0,863260000.0,4768321000.0,8013849000.0,4641994000.0,0.0,15680000.0,214740000.0,549013000.0,149715000.0,453724000.0,5095718000.0,1188343000.0,3907375000.0,3907375000.0,-1374188000.0,-1429604000.0,0.0,0.0,0.0,-15018000.0,3892357000.0,2844977000.0,1062398000.0,2882812000.0,1009545000.0,1010.0,1010.0,1359170000.0,0.0,0.0,21591000.0,0.0,1380761000.0,0.0,0.0,0.0,55416000.0,622602000.0,0.0
3231,2020,3,217593543000.0,205898557000.0,11694986000.0,11694986000.0,0.0,2123447000.0,986059000.0,4962123000.0,8071629000.0,3623357000.0,0.0,147853000.0,1185281000.0,431573000.0,140657000.0,1457207000.0,5080564000.0,1194530000.0,3886034000.0,3886034000.0,-1125581000.0,-1115019000.0,0.0,0.0,0.0,-1961638000.0,1924396000.0,2784070000.0,1101964000.0,869470000.0,1054926000.0,1000.0,990.0,-836057000.0,0.0,0.0,-6252000.0,0.0,-842309000.0,0.0,0.0,0.0,-10562000.0,414989000.0,0.0
3231,2020,4,232539402000.0,219429027000.0,13110375000.0,13110375000.0,0.0,2417213000.0,1120471000.0,5267194000.0,8804878000.0,4305497000.0,0.0,-520509000.0,524208000.0,487014000.0,114343000.0,481479000.0,4786976000.0,1115554000.0,3671422000.0,3671422000.0,-1570142000.0,-1604143000.0,0.0,0.0,0.0,-1563251000.0,2108171000.0,2326005000.0,1345417000.0,816387000.0,1291784000.0,830.0,780.0,6891000.0,-260057000.0,-2664000.0,-23786000.0,0.0,245826000.0,0.0,0.0,0.0,34001000.0,850451000.0,0.0
3231,2021,1,177359386000.0,166809832000.0,10549554000.0,10549554000.0,0.0,2106605000.0,985283000.0,4380305000.0,7472193000.0,3077361000.0,0.0,59561000.0,-1959583000.0,446956000.0,83425000.0,-1837324000.0,1240037000.0,290512000.0,949525000.0,949525000.0,-305068000.0,-286844000.0,0.0,0.0,0.0,-210209000.0,739316000.0,112612000.0,836913000.0,-92190000.0,831506000.0,40.0,40.0,94859000.0,0.0,0.0,-2039000.0,0.0,92820000.0,0.0,0.0,0.0,-18224000.0,426229000.0,0.0
3231,2021,2,200878566000.0,188766486000.0,12112080000.0,12112080000.0,0.0,2286497000.0,1164430000.0,5320003000.0,8770930000.0,3341150000.0,0.0,79216000.0,3551512000.0,458969000.0,-54996000.0,3537385000.0,6878535000.0,1597553000.0,5280982000.0,5280982000.0,-1429936000.0,-1388853000.0,0.0,0.0,0.0,-1674014000.0,3606968000.0,4151826000.0,1129156000.0,2541571000.0,1065397000.0,1490.0,1480.0,-244078000.0,0.0,0.0,13291000.0,0.0,-230787000.0,0.0,0.0,0.0,-41083000.0,420622000.0,0.0
3231,2021,3,220392216000.0,207399567000.0,12992649000.0,12992649000.0,0.0,2413996000.0,901641000.0,5229448000.0,8545085000.0,4447564000.0,0.0,134810000.0,-2119792000.0,458504000.0,66412000.0,-2052497000.0,2395067000.0,589702000.0,1805365000.0,1805365000.0,-119502000.0,-90986000.0,0.0,0.0,0.0,-740430000.0,1064935000.0,827266000.0,978099000.0,100515000.0,964420000.0,300.0,290.0,-620928000.0,0.0,0.0,7843000.0,0.0,-613085000.0,0.0,0.0,0.0,-28516000.0,324577000.0,0.0
3231,2021,4,263452680000.0,247972247000.0,15480433000.0,15480433000.0,0.0,2660329000.0,1479802000.0,5831739000.0,9971870000.0,5508563000.0,0.0,226037000.0,3344024000.0,515662000.0,22347000.0,3212075000.0,8720638000.0,2028699000.0,6691939000.0,6691939000.0,-455636000.0,-474912000.0,0.0,0.0,0.0,606347000.0,7298286000.0,5376326000.0,1315613000.0,5998415000.0,1299871000.0,1930.0,1830.0,1061983000.0,-92369000.0,-11071000.0,130000.0,0.0,1165553000.0,0.0,0.0,0.0,19276000.0,135329000.0,0.0
